date,location,new_cases,total_cases,deaths,recovered,hospitalizations
2026-01-01,district_a,3,3,0,0,1
2026-01-02,district_a,5,8,0,0,3
2026-01-03,district_a,8,16,0,2,6
2026-01-04,district_a,12,28,0,5,10
2026-01-05,district_a,18,46,1,8,15
2026-01-06,district_a,25,71,1,14,21
2026-01-07,district_a,34,105,2,22,28
2026-01-08,district_a,41,146,3,35,33
2026-01-09,district_a,47,193,4,52,36
2026-01-10,district_a,52,245,5,74,38
2026-01-11,district_a,49,294,6,98,35
2026-01-12,district_a,44,338,7,124,31
2026-01-13,district_a,38,376,8,152,27
2026-01-14,district_a,30,406,9,180,22
2026-01-15,district_a,22,428,10,210,16
2026-01-16,district_a,15,443,10,245,11
2026-01-17,district_a,10,453,11,272,7
2026-01-18,district_a,6,459,11,295,4
2026-01-19,district_a,3,462,11,310,2
2026-01-20,district_a,1,463,11,320,1
2026-01-01,district_b,1,1,0,0,0
2026-01-02,district_b,2,3,0,0,1
2026-01-03,district_b,4,7,0,0,2
2026-01-04,district_b,7,14,0,1,4
2026-01-05,district_b,11,25,0,3,7
2026-01-06,district_b,16,41,1,7,11
2026-01-07,district_b,20,61,1,13,14
2026-01-08,district_b,23,84,2,22,16
2026-01-09,district_b,21,105,2,35,15
2026-01-10,district_b,18,123,3,52,12
2026-01-11,district_b,14,137,3,70,9
2026-01-12,district_b,10,147,4,88,6
2026-01-13,district_b,7,154,4,105,4
2026-01-14,district_b,4,158,4,120,2
2026-01-15,district_b,2,160,4,132,1
